amendment,amendment_label,rank,score,chunk_id,document_id,title,author,date,source_collection,source_url,preview
9,Ninth Amendment,22,2,jefferson_writings_vol_6_0617,jefferson_writings_vol_6,"The Writings of Thomas Jefferson, Volume 6",Thomas Jefferson,1798-1802,founders_correspondence,https://www.gutenberg.org/cache/epub/55075/pg55075.txt,"You ask me for observations on the memorandum you transcribe, relating to a map of the States, a mineralogical survey and statistical tables. The field is very broad, and new to me. I have never turned my mind to this ..."
9,Ninth Amendment,23,2,jefferson_writings_vol_7_0583,jefferson_writings_vol_7,"The Writings of Thomas Jefferson, Volume 7",Thomas Jefferson,1803-1807,founders_correspondence,https://www.gutenberg.org/cache/epub/56035/pg56035.txt,"3. To ""regulate commerce with foreign nations, and among the States, and with the Indian tribes."" To erect a bank, and to regulate commerce, are very different acts. He who erects a bank, creates a subject of commerce in its ..."
9,Ninth Amendment,24,2,jefferson_writings_vol_9_0302,jefferson_writings_vol_9,"The Writings of Thomas Jefferson, Volume 9",Thomas Jefferson,1816-1826,founders_correspondence,https://www.gutenberg.org/cache/epub/56578/pg56578.txt,"Georgia having not yet acceded to the measures of the other States, was not quotaed; but her numbers were generally estimated at about thirty thousand, and so would have made the whole two million four hundred and forty-eight thousand persons, ..."
9,Ninth Amendment,25,2,madison_debates_1787_07_17_0001,madison_debates_1787_07_17,"Madison Debates - July 17, 1787",James Madison,1787-07-17,madisons_notes,https://avalon.law.yale.edu/18th_century/debates_717.asp,"Mr. Govr. MORRIS opposed it. The internal police, as it would be called & understood by the States ought to be infringed in many cases, as in the case of paper money & other tricks by which Citizens of other ..."
9,Ninth Amendment,26,2,madison_debates_complete_avalon_0567,madison_debates_complete_avalon,Madison Debates Complete Avalon Collection,James Madison,1787-05-14/1787-09-17,madisons_notes,https://avalon.law.yale.edu/subject_menus/debcont.asp,"of South Carolina, and the interest the weak Southn. States had in being united with the strong Eastern States, he thought it proper that no fetters should be imposed on the power of making commercial regulations; and that his constituents ..."
9,Ninth Amendment,27,2,madison_debates_complete_avalon_0635,madison_debates_complete_avalon,Madison Debates Complete Avalon Collection,James Madison,1787-05-14/1787-09-17,madisons_notes,https://avalon.law.yale.edu/subject_menus/debcont.asp,"Representatives and direct taxes shall be apportioned among the several states which may be included within this Union, according to their respective numbers, which shall be determined by adding to the whole number of free persons, including those bound to ..."
9,Ninth Amendment,28,1,new_york_ratification_1788_0005,new_york_ratification_1788,New York Ratification and Circular Letter,New York Ratifying Convention,1788-07-26,anti_federalist,https://avalon.law.yale.edu/18th_century/ratny.asp,"AND the Convention do in the Name and Behalf of the People of the State of New York enjoin it upon their Representatives in the Congress, to Exert all their Influence, and use all reasonable means to Obtain a Ratification ..."
9,Ninth Amendment,29,1,north_carolina_ratification_1789_0003,north_carolina_ratification_1789,North Carolina Ratification and Declaration of Rights,North Carolina Convention,1789-11-21,anti_federalist,https://avalon.law.yale.edu/18th_century/ratnc.asp,"II. That there shall be one representative for every 30.000, according to the enumeration or census, mentioned in the constitution , until the whole number of representatives amounts to two hundred; after which, that number shall be continued or increased, ..."
9,Ninth Amendment,30,1,henry_speeches_virginia_1788_0000,henry_speeches_virginia_1788,Patrick Henry — Speeches at the Virginia Ratifying Convention (June 1788),Patrick Henry,1788-06-04/1788-06-25,anti_federalist,https://avalon.law.yale.edu/18th_century/henry.asp,"Speeches of Patrick Henry Speeches of Patrick Henry In the Virginia Ratifying Convention Thursday, June 5, 1788, Dangerous ambiguities Saturday, June 7, 1788, Legitimate government Monday, June 9, 1788, Dangers Thursday, June 12, 1788, Amendments needed Friday, June 13, 1788, ..."
10,Tenth Amendment,1,7,jefferson_writings_vol_9_0519,jefferson_writings_vol_9,"The Writings of Thomas Jefferson, Volume 9",Thomas Jefferson,1816-1826,founders_correspondence,https://www.gutenberg.org/cache/epub/56578/pg56578.txt,"3. _Resolved_, That it is true as a general principle, and is also expressly declared by one of the amendments to the Constitution, that ""the powers not delegated to the United States by the Constitution, nor prohibited by it to ..."
10,Tenth Amendment,2,7,jefferson_writings_vol_9_0520,jefferson_writings_vol_9,"The Writings of Thomas Jefferson, Volume 9",Thomas Jefferson,1816-1826,founders_correspondence,https://www.gutenberg.org/cache/epub/56578/pg56578.txt,"4. _Resolved_, That alien friends are under the jurisdiction and protection of the laws of the State wherein they are: that no power over them has been delegated to the United States, nor prohibited to the individual States, distinct from ..."
10,Tenth Amendment,3,6,jefferson_writings_vol_9_0518,jefferson_writings_vol_9,"The Writings of Thomas Jefferson, Volume 9",Thomas Jefferson,1816-1826,founders_correspondence,https://www.gutenberg.org/cache/epub/56578/pg56578.txt,"2. _Resolved_, That the Constitution of the United States, having delegated to Congress a power to punish treason, counterfeiting the securities and current coin of the United States, piracies, and felonies committed on the high seas, and offences against the ..."
10,Tenth Amendment,4,5,bill_of_rights_original_text_1791_0001,bill_of_rights_original_text_1791,Bill of Rights - Original Text,United States Congress,1791-12-15,bill_of_rights,https://www.archives.gov/founding-docs/bill-of-rights-transcript,"AMENDMENT VIII Excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted. AMENDMENT IX The enumeration in the Constitution, of certain rights, shall not be construed to deny or disparage others retained by the ..."
10,Tenth Amendment,5,5,madison_letters_vol_4_0440,madison_letters_vol_4,"Letters and Other Writings of James Madison, Volume 4",James Madison,1829-1836,founders_correspondence,https://archive.org/download/lettersotherwrit04madi/lettersotherwrit04madi_djvu.txt,"and liberties reserved to the States respectively or to the peo- ple."" Here it distinctly appears, as in the third resolution, that the course contemplated by the Legislature for "" maintaining the authorities, rights, and liberties reserved to the States ..."
10,Tenth Amendment,6,5,madison_letters_vol_4_0577,madison_letters_vol_4,"Letters and Other Writings of James Madison, Volume 4",James Madison,1829-1836,founders_correspondence,https://archive.org/download/lettersotherwrit04madi/lettersotherwrit04madi_djvu.txt,"On this resolution the committee have bestowed all the attention which its importance merits. They have scanned it not merely with a strict, but with a severe eye; and they feel confidence in pronouncing that, in its just and fair ..."
10,Tenth Amendment,7,4,farrand_records_vol_1_0484,farrand_records_vol_1,"The Records of the Federal Convention of 1787, Volume 1",Max Farrand,1787-05-25/1787-07-26,farrands_records,https://archive.org/download/recordsfederalc00farrgoog/recordsfederalc00farrgoog_djvu.txt,"That it was, however, certain the President and Vice President would be taken from the larger States, unless the smaller had some proportion of their original right preserved, and therefore the number of electors is compounded of the number of ..."
10,Tenth Amendment,8,4,farrand_records_vol_2_0486,farrand_records_vol_2,"The Records of the Federal Convention of 1787, Volume 2",Max Farrand,1787-07-27/1787-09-17,farrands_records,https://archive.org/download/recordsfederalc01farrgoog/recordsfederalc01farrgoog_djvu.txt,"That it was, however, certain the President and Vice President would be taken from the larger States, unless the smaller had some proportion of their original right preserved, and therefore the number of electors is compounded of the number of ..."
10,Tenth Amendment,9,4,farrand_records_vol_3_0486,farrand_records_vol_3,"The Records of the Federal Convention of 1787, Volume 3",Max Farrand,1787-02-21/1787-09-17,farrands_records,https://archive.org/download/in.ernet.dli.2015.58320/2015.58320.The-Records-Of-The-Federal-Convention-Of-1787-Volume-Iii_djvu.txt,"That it was, however, certain the President and Vice President would be taken from the larger States, unless the smaller had some proportion of their original right preserved, and therefore the number of electors is compounded of the number of ..."
10,Tenth Amendment,10,4,madison_letters_vol_4_0566,madison_letters_vol_4,"Letters and Other Writings of James Madison, Volume 4",James Madison,1829-1836,founders_correspondence,https://archive.org/download/lettersotherwrit04madi/lettersotherwrit04madi_djvu.txt,"first of which exercises a power nowhere delegated to the Federal Govern- ment, and which, by uniting legislative and judicial powers to those of [tin'] executive, subvert the general principles of free government, as well as the particular organization and ..."
10,Tenth Amendment,11,4,hamilton_works_vol_3_0314,hamilton_works_vol_3,"The Works of Alexander Hamilton, Volume 3",Alexander Hamilton,1769-1804,founders_correspondence,https://archive.org/download/alexanderworksof03hamirich/alexanderworksof03hamirich_djvu.txt,"Here, then, as far as concerns the reasonings of the Secretary of State and the Attorney- General, the affirmative of the constitutionality of the bill might be permitted to rest. It will occur to the President, that the principle here ..."
10,Tenth Amendment,12,4,jefferson_writings_vol_7_0582,jefferson_writings_vol_7,"The Writings of Thomas Jefferson, Volume 7",Thomas Jefferson,1803-1807,founders_correspondence,https://www.gutenberg.org/cache/epub/56035/pg56035.txt,The bill for establishing a National Bank undertakes among other things:-- 1. To form the subscribers into a corporation. 2. To enable them in their corporate capacities to receive grants of land; and so far is against the laws of ...
10,Tenth Amendment,13,3,henry_speeches_virginia_1788_0406,henry_speeches_virginia_1788,Patrick Henry — Speeches at the Virginia Ratifying Convention (June 1788),Patrick Henry,1788-06-04/1788-06-25,anti_federalist,https://avalon.law.yale.edu/18th_century/henry.asp,"not more necessary in this government, where they were but inadequately represented? He declared that artful sophistry and evasions could not satisfy him. He could see no clear distinction between rights relinquished by a positive grant, and lost by implication. ..."
