name,state,signed_constitution,matching_chunks,total_mentions,top_source_collections,top_documents
John Francis Mercer,Maryland,False,239,334,founders_correspondence:214; farrands_records:94; madisons_notes:26,washington_writings_vol_2:48; washington_writings_vol_1:37; farrand_records_vol_1:33; farrand_records_vol_2:33; washington_writings_vol_4:29
George Washington,Virginia,True,7923,21129,founders_correspondence:20512; farrands_records:589; madisons_notes:19; anti_federalist:8; constitution:1,washington_writings_vol_4:1541; washington_writings_vol_5:1475; washington_writings_vol_3:1463; washington_writings_vol_2:1454; washington_writings_vol_6:1421
James Madison,Virginia,True,4800,11618,founders_correspondence:8111; madisons_notes:2112; farrands_records:1290; anti_federalist:75; federalist_papers:29,madison_letters_vol_4:2122; madison_debates_complete_avalon:2023; madison_letters_vol_3:1856; madison_letters_vol_1:1768; madison_letters_vol_2:1590
John Blair,Virginia,True,92,105,founders_correspondence:50; farrands_records:38; madisons_notes:13; anti_federalist:3; constitution:1,madison_letters_vol_1:14; madison_debates_complete_avalon:13; farrand_records_vol_1:13; farrand_records_vol_2:13; farrand_records_vol_3:12
Edmund Randolph,Virginia,False,873,1240,founders_correspondence:662; farrands_records:378; madisons_notes:174; anti_federalist:26,madison_debates_complete_avalon:163; farrand_records_vol_2:134; farrand_records_vol_1:132; farrand_records_vol_3:112; madison_letters_vol_1:79
George Mason,Virginia,False,575,797,farrands_records:289; founders_correspondence:252; madisons_notes:196; anti_federalist:60,madison_debates_complete_avalon:193; farrand_records_vol_2:101; farrand_records_vol_1:100; farrand_records_vol_3:88; madison_letters_vol_1:57
George Wythe,Virginia,False,186,223,founders_correspondence:147; farrands_records:63; madisons_notes:7; anti_federalist:6,jefferson_writings_vol_1:29; madison_letters_vol_1:27; farrand_records_vol_1:21; farrand_records_vol_2:21; farrand_records_vol_3:21
James McClurg,Virginia,False,28,31,farrands_records:21; founders_correspondence:6; madisons_notes:4,farrand_records_vol_3:10; farrand_records_vol_1:6; farrand_records_vol_2:5; madison_letters_vol_1:4; madison_debates_complete_avalon:3
William Blount,North Carolina,True,71,85,farrands_records:56; founders_correspondence:25; madisons_notes:3; constitution:1,farrand_records_vol_1:19; farrand_records_vol_2:19; farrand_records_vol_3:18; washington_writings_vol_13:9; madison_debates_complete_avalon:3
Richard Dobbs Spaight,North Carolina,True,105,127,farrands_records:104; madisons_notes:21; constitution:1; founders_correspondence:1,farrand_records_vol_2:36; farrand_records_vol_1:34; farrand_records_vol_3:34; madison_debates_complete_avalon:21; us_constitution_1787_article_i:1
Hugh Williamson,North Carolina,True,200,238,madisons_notes:117; farrands_records:97; founders_correspondence:23; constitution:1,madison_debates_complete_avalon:116; farrand_records_vol_1:34; farrand_records_vol_2:34; farrand_records_vol_3:29; washington_writings_vol_2:5
Alexander Martin,North Carolina,False,31,37,farrands_records:36; madisons_notes:1,farrand_records_vol_1:12; farrand_records_vol_2:12; farrand_records_vol_3:12; madison_debates_complete_avalon:1
William Richardson Davie,North Carolina,False,108,123,farrands_records:108; founders_correspondence:9; madisons_notes:6,farrand_records_vol_1:37; farrand_records_vol_2:37; farrand_records_vol_3:34; madison_debates_complete_avalon:6; madison_letters_vol_2:4
John Rutledge,South Carolina,True,143,174,founders_correspondence:125; farrands_records:45; madisons_notes:3; constitution:1,jefferson_writings_vol_2:25; farrand_records_vol_1:15; farrand_records_vol_2:15; farrand_records_vol_3:15; washington_writings_vol_3:11
Charles Cotesworth Pinckney,South Carolina,True,44,55,founders_correspondence:27; farrands_records:26; constitution:1; madisons_notes:1,hamilton_works_vol_10:12; farrand_records_vol_1:9; farrand_records_vol_3:9; washington_writings_vol_13:9; farrand_records_vol_2:8
Charles Pinckney,South Carolina,True,143,160,farrands_records:122; founders_correspondence:30; madisons_notes:6; constitution:2,farrand_records_vol_2:42; farrand_records_vol_1:41; farrand_records_vol_3:39; madison_letters_vol_4:11; madison_debates_complete_avalon:6
Pierce Butler,South Carolina,True,194,256,farrands_records:95; founders_correspondence:85; madisons_notes:74; constitution:2,madison_debates_complete_avalon:74; farrand_records_vol_1:34; farrand_records_vol_2:34; farrand_records_vol_3:27; washington_writings_vol_12:24
William Few,Georgia,True,2758,3208,founders_correspondence:2587; farrands_records:349; federalist_papers:93; madisons_notes:91; anti_federalist:86,madison_letters_vol_1:175; madison_letters_vol_3:139; farrand_records_vol_2:117; madison_letters_vol_4:117; farrand_records_vol_1:116
Abraham Baldwin,Georgia,True,126,173,farrands_records:126; founders_correspondence:30; madisons_notes:15; constitution:2,farrand_records_vol_1:43; farrand_records_vol_2:43; farrand_records_vol_3:40; madison_debates_complete_avalon:15; jefferson_writings_vol_9:9
William Houstoun,Georgia,False,23,28,farrands_records:26; madisons_notes:1; founders_correspondence:1,farrand_records_vol_1:9; farrand_records_vol_3:9; farrand_records_vol_2:8; madison_debates_complete_avalon:1; washington_writings_vol_11:1
William Pierce,Georgia,False,103,137,farrands_records:111; founders_correspondence:18; madisons_notes:6; constitution:2,farrand_records_vol_1:40; farrand_records_vol_2:40; farrand_records_vol_3:31; madison_debates_complete_avalon:6; madison_letters_vol_4:5
